GeneID,nr_annotation
CSS0028047,PREDICTED: nudix hydrolase 26 chloroplastic-like [Malus domestica]
CSS0003960,hypothetical protein JCGZ_22402 [Jatropha curcas]
CSS0049494,PREDICTED: uncharacterized protein LOC100251831 isoform X1 [Vitis vinifera] 
CSS0013669,PREDICTED: uncharacterized protein LOC100265339 [Vitis vinifera]
CSS0044318,PREDICTED: WAT1-related protein At4g08290 [Vitis vinifera] 
CSS0007524,PREDICTED: uncharacterized protein At1g32220 chloroplastic-like isoform X2 [Phoenix dactylifera]
CSS0004262,hypothetical protein VITISV_016795 [Vitis vinifera]
CSS0001376,unnamed protein product [Coffea canephora]
CSS0037435,PREDICTED: uncharacterized methyltransferase At2g41040 chloroplastic [Sesamum indicum]
CSS0007479,PREDICTED: subtilisin-like protease isoform X2 [Vitis vinifera]
CSS0021654,phragmoplastin [Camellia sinensis]
CSS0007665,unnamed protein product [Vitis vinifera]
CSS0017465,PREDICTED: uncharacterized protein LOC100265335 isoform X2 [Vitis vinifera]
CSS0031466,hypothetical protein JCGZ_04353 [Jatropha curcas]
CSS0024545,PREDICTED: bifunctional aspartokinase/homoserine dehydrogenase 1 chloroplastic-like isoform X5 [Solanum tuberosum]
CSS0002072,PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At5g10290 [Malus domestica] 
CSS0028305,unnamed protein product [Coffea canephora]
CSS0005578,PREDICTED: uric acid degradation bifunctional protein TTL isoform X2 [Vitis vinifera]
CSS0007032,unnamed protein product [Vitis vinifera]
CSS0038337,PREDICTED: uncharacterized protein LOC102621841 [Citrus sinensis]
CSS0027357,PREDICTED: uncharacterized protein LOC100250255 isoform X1 [Vitis vinifera]
CSS0035623,SnRK1-interacting protein [Medicago truncatula] 
CSS0048124,PREDICTED: short-chain dehydrogenase TIC 32 chloroplastic [Vitis vinifera] 
CSS0039725,Glucan endo-13-beta-glucosidase basic isoform [Morus notabilis] 
CSS0004290,hypothetical protein L484_022843 [Morus notabilis] 
CSS0044373,GAGA-binding transcriptional activator BBR/BPC4-like [Vitis vinifera] 
CSS0001836,PREDICTED: GDSL esterase/lipase EXL3-like [Sesamum indicum]
CSS0028815,Palmitoyl-protein thioesterase 1 [Triticum urartu]
CSS0045766,unnamed protein product [Coffea canephora]
CSS0037797,PREDICTED: mitochondrial tRNA-specific 2-thiouridylase 1-like isoform X1 [Glycine max]
CSS0023256,PREDICTED: uncharacterized protein LOC102580916 [Solanum tuberosum]
CSS0000836,integrase [Cucumis melo subsp. melo]
CSS0024729,PREDICTED: uncharacterized protein LOC104109964 [Nicotiana tomentosiformis]
CSS0046641,hypothetical protein JCGZ_22671 [Jatropha curcas]
CSS0012987,PREDICTED: probable trehalose-phosphate phosphatase J [Sesamum indicum]
CSS0036891,PREDICTED: uncharacterized protein LOC100262433 [Vitis vinifera] 
CSS0027224,hypothetical protein CICLE_v10026757mg [Citrus clementina] 
CSS0019664,hypothetical protein PRUPE_ppa010408mg [Prunus persica] 
CSS0030699,SAUR family protein [Theobroma cacao] 
CSS0042202,PREDICTED: uncharacterized protein LOC101292967 [Fragaria vesca subsp. vesca]
CSS0037090,PREDICTED: tRNA:m(4)X modification enzyme TRM13 homolog [Prunus mume]
CSS0034033,PREDICTED: uncharacterized protein LOC100267301 [Vitis vinifera]
CSS0005869,hypothetical protein [Beta vulgaris subsp. vulgaris]
CSS0010750,PREDICTED: anaphase-promoting complex subunit 11-like [Citrus sinensis]
CSS0046323,PREDICTED: protein MODIFIER OF SNC1 11 isoform X1 [Vitis vinifera] 
CSS0021784,hypothetical protein JCGZ_00256 [Jatropha curcas]
CSS0007734,PREDICTED: uncharacterized protein LOC102616453 [Citrus sinensis]
CSS0028923,PREDICTED: uncharacterized protein LOC103326817 [Prunus mume]
CSS0042856,PREDICTED: ribosome biogenesis protein BMS1 homolog [Nelumbo nucifera]
CSS0048433,PREDICTED: dof zinc finger protein DOF3.4 [Sesamum indicum]
CSS0025214,PREDICTED: probable LRR receptor-like serine/threonine-protein kinase At1g56140 [Nicotiana tomentosiformis]
CSS0007286,--
CSS0006747,PREDICTED: MACPF domain-containing protein NSL1 [Nicotiana sylvestris]
CSS0019510,PREDICTED: uncharacterized protein At1g15400 [Nelumbo nucifera]
CSS0010877,hypothetical protein MIMGU_mgv1a023151mg [Erythranthe guttata]
CSS0043598,PREDICTED: inositol transporter 4-like isoform X1 [Solanum tuberosum] 
CSS0041735,PREDICTED: protein FAR1-RELATED SEQUENCE 5-like [Malus domestica]
CSS0026387,hypothetical protein VITISV_043102 [Vitis vinifera]
CSS0020628,PREDICTED: nuclear pore complex protein NUP107 isoform X1 [Vitis vinifera]
CSS0023011,RING/U-box superfamily protein [Theobroma cacao] 
CSS0047343,PREDICTED: serine/threonine-protein phosphatase 7 long form homolog [Elaeis guineensis]
CSS0040325,PREDICTED: lactoylglutathione lyase-like [Glycine max]
CSS0034208,PREDICTED: protein RADIALIS-like 3 [Sesamum indicum]
CSS0013960,PREDICTED: AP-5 complex subunit zeta-1 [Prunus mume]
CSS0007869,PREDICTED: HBS1-like protein isoform X1 [Vitis vinifera] 
CSS0048325,PREDICTED: zeatin O-glucosyltransferase-like [Vitis vinifera]
CSS0038446,PREDICTED: two-component response regulator ARR17 isoform X1 [Vitis vinifera]
CSS0019270,Glycosyl hydrolase 9B18 [Theobroma cacao] 
CSS0023860,--
CSS0004539,hypothetical protein JCGZ_10029 [Jatropha curcas]
CSS0025400,unnamed protein product [Coffea canephora]
CSS0033075,flavonol synthase [Camellia sinensis]
CSS0025102,PREDICTED: uncharacterized protein LOC104093688 [Nicotiana tomentosiformis]
CSS0017488,PREDICTED: zinc transporter 8-like [Nelumbo nucifera]
CSS0021990,PREDICTED: uncharacterized protein LOC104247179 [Nicotiana sylvestris]
CSS0028730,Phosphoribosylformylglycinamidine cyclo-ligase chloroplastic -like protein [Gossypium arboreum]
CSS0037224,PREDICTED: uncharacterized protein LOC103337389 [Prunus mume]
CSS0030730,PREDICTED: pentatricopeptide repeat-containing protein At3g02650 mitochondrial [Nelumbo nucifera]
CSS0008041,hypothetical protein CISIN_1g000588mg [Citrus sinensis] 
CSS0026533,PREDICTED: histone-lysine N-methyltransferase H3 lysine-9 specific SUVH8-like [Vitis vinifera]
CSS0010030,PREDICTED: ankyrin repeat-containing protein At5g02620 [Sesamum indicum]
CSS0041545,hypothetical protein MIMGU_mgv1a010186mg [Erythranthe guttata]
CSS0016366,hypothetical protein CICLE_v10004398mg [Citrus clementina] 
CSS0030489,unnamed protein product [Coffea canephora]
CSS0038009,PREDICTED: nucleolar protein 56-like [Sesamum indicum]
CSS0046707,unnamed protein product [Coffea canephora]
CSS0020158,PREDICTED: E3 ubiquitin-protein ligase Hakai [Vitis vinifera] 
CSS0004586,hypothetical protein VITISV_042255 [Vitis vinifera]
CSS0046143,unnamed protein product [Vitis vinifera]
CSS0003849,unnamed protein product [Vitis vinifera]
CSS0014377,PREDICTED: xyloglucan endotransglucosylase/hydrolase protein 2-like [Beta vulgaris subsp. vulgaris]
CSS0046887,PREDICTED: uncharacterized protein LOC104221652 [Nicotiana sylvestris]
CSS0002946,PREDICTED: protein TIC110 chloroplastic [Vitis vinifera] 
CSS0043130,PREDICTED: uncharacterized protein LOC100854495 [Vitis vinifera]
CSS0049840,PREDICTED: vitellogenin-A2 [Nelumbo nucifera]
CSS0043047,PREDICTED: pentatricopeptide repeat-containing protein At1g07590 mitochondrial [Vitis vinifera]
CSS0045432,PREDICTED: protein TIC 40 chloroplastic [Prunus mume]
CSS0003565,PREDICTED: protein TIC 40 chloroplastic isoform X1 [Vitis vinifera] 
CSS0038293,Cinnamyl alcohol dehydrogenase 82967-79323 putative isoform 1 [Theobroma cacao] 
CSS0013171,PREDICTED: probable galacturonosyltransferase-like 1 [Vitis vinifera]
CSS0018255,PREDICTED: uncharacterized protein LOC104086877 [Nicotiana tomentosiformis]
CSS0033548,--
CSS0022313,myosin heavy chain-like protein [Arabidopsis thaliana]
CSS0014168,unnamed protein product [Vitis vinifera]
CSS0011516,PREDICTED: probable aldo-keto reductase 1-like [Fragaria vesca subsp. vesca]
CSS0001963,conserved hypothetical protein [Ricinus communis] 
CSS0050017,acetyl-CoA carboxylase carboxyl transferase beta (chloroplast) [Camellia danzaiensis] 
CSS0044646,PREDICTED: protein NLP6-like isoform X2 [Nicotiana tomentosiformis]
CSS0012874,PREDICTED: transcription factor bHLH68 [Vitis vinifera] 
CSS0036699,PREDICTED: WD repeat-containing protein YMR102C-like [Vitis vinifera] 
CSS0016406,hypothetical protein VITISV_020815 [Vitis vinifera]
CSS0034469,PREDICTED: pentatricopeptide repeat-containing protein At1g73710 [Vitis vinifera]
CSS0016575,PREDICTED: zinc finger MYM-type protein 1-like [Citrus sinensis]
CSS0036375,Ankyrin repeat family protein isoform 1 [Theobroma cacao] 
CSS0018299,PREDICTED: uncharacterized protein LOC102666272 [Glycine max]
CSS0033070,PREDICTED: uncharacterized protein LOC103325482 [Prunus mume]
CSS0018223,rer1 protein putative [Ricinus communis] 
CSS0011607,PREDICTED: tubulin beta-6 chain isoform X1 [Beta vulgaris subsp. vulgaris]
CSS0022617,PREDICTED: pleiotropic drug resistance protein 2-like [Sesamum indicum]
CSS0031730,unnamed protein product [Coffea canephora]
CSS0016394,hypothetical protein POPTR_0002s15080g [Populus trichocarpa] 
CSS0038814,hypothetical protein JCGZ_24743 [Jatropha curcas]
CSS0023140,unnamed protein product [Coffea canephora]
CSS0031520,hypothetical protein PRUPE_ppa004672mg [Prunus persica] 
CSS0002098,unnamed protein product [Coffea canephora]
CSS0015453,Zinc finger protein MAGPIE [Morus notabilis] 
CSS0037204,PREDICTED: uncharacterized protein LOC103718272 [Phoenix dactylifera] 
CSS0047125,PREDICTED: tropomyosin [Cucumis melo]
CSS0006044,PREDICTED: probably inactive leucine-rich repeat receptor-like protein kinase At3g28040 [Vitis vinifera]
CSS0018175,PREDICTED: LOW QUALITY PROTEIN: probably inactive leucine-rich repeat receptor-like protein kinase At5g06940 [Vitis vinifera]
CSS0045687,unnamed protein product [Coffea canephora]
CSS0002741,PREDICTED: histone-lysine N-methyltransferase ATX4-like [Solanum tuberosum]
CSS0020019,PREDICTED: diphthamide biosynthesis protein 3-like [Nicotiana tomentosiformis]
CSS0029189,retrotransposon protein putative Ty1-copia sub-class [Oryza sativa Japonica Group] 
CSS0039087,PREDICTED: putative DNA-binding protein ESCAROLA [Vitis vinifera] 
CSS0048072,PREDICTED: senescence-specific cysteine protease SAG39 [Vitis vinifera]
CSS0039123,retrotransposon protein putative unclassified [Oryza sativa Japonica Group]
CSS0042275,PREDICTED: uncharacterized protein LOC103319961 [Prunus mume]
CSS0049954,unnamed protein product [Coffea canephora]
CSS0014850,PREDICTED: eukaryotic translation initiation factor 5A [Eucalyptus grandis] 
CSS0004248,PREDICTED: probable glutathione S-transferase [Eucalyptus grandis] 
CSS0025867,PREDICTED: uncharacterized protein LOC104605135 isoform X2 [Nelumbo nucifera]
CSS0042215,PREDICTED: uncharacterized protein LOC103453396 [Malus domestica]
CSS0018426,unnamed protein product [Coffea canephora]
CSS0002830,PREDICTED: SNARE-interacting protein KEULE-like isoform X1 [Sesamum indicum]
CSS0019140,Putative methyltransferase PMT2 [Glycine soja]
CSS0019529,hypothetical protein M569_03275 partial [Genlisea aurea]
CSS0034191,hypothetical protein VITISV_010346 [Vitis vinifera]
CSS0020790,SKP1-like protein 1A [Glycine soja]
CSS0044321,PREDICTED: 9-cis-epoxycarotenoid dioxygenase NCED6 chloroplastic [Vitis vinifera]
CSS0035531,hypothetical protein MIMGU_mgv1a001387mg [Erythranthe guttata]
CSS0005381,PREDICTED: LOW QUALITY PROTEIN: Werner Syndrome-like exonuclease [Vitis vinifera]
CSS0032508,PREDICTED: ATPase family AAA domain-containing protein 3-B [Nelumbo nucifera]
CSS0044128,PREDICTED: nuclear transcription factor Y subunit B-6 [Vitis vinifera] 
CSS0045744,PREDICTED: uncharacterized protein LOC104878977 [Vitis vinifera]
CSS0037977,hexose transport protein [Actinidia chinensis]
CSS0044204,PREDICTED: histone H3.2-like [Solanum lycopersicum] 
CSS0017114,unnamed protein product [Coffea canephora]
CSS0007728,PREDICTED: CASP-like protein 5B1 [Sesamum indicum]
CSS0005225,gag-pol polyprotein [Populus deltoides]
CSS0001805,PREDICTED: putative pentatricopeptide repeat-containing protein At3g11460 [Vitis vinifera]
CSS0046422,unnamed protein product [Coffea canephora]
CSS0008679,PREDICTED: uncharacterized protein LOC100266835 isoform X2 [Vitis vinifera]
CSS0039472,kif4 putative [Ricinus communis] 
CSS0029857,Alpha-16-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase [Theobroma cacao] 
CSS0008305,PREDICTED: protein gar2-like [Malus domestica]
CSS0034525,hypothetical protein VITISV_000588 [Vitis vinifera]
CSS0037548,hypothetical protein PRUPE_ppa002237mg [Prunus persica] 
CSS0038806,hypothetical protein CISIN_1g014072mg [Citrus sinensis]
CSS0004891,PREDICTED: BTB/POZ domain-containing protein At3g22104 [Vitis vinifera] 
CSS0027782,PREDICTED: B3 domain-containing protein At5g42700-like isoform X2 [Nicotiana tomentosiformis]
CSS0044246,PREDICTED: uncharacterized protein LOC101504633 [Cicer arietinum]
CSS0001948,hypothetical protein VITISV_000588 [Vitis vinifera]
CSS0029283,unnamed protein product [Vitis vinifera]
CSS0012868,PREDICTED: uncharacterized protein LOC103435923 [Malus domestica]
CSS0041225,hypothetical protein VITISV_021899 [Vitis vinifera]
CSS0000478,Uncharacterized protein TCM_002679 [Theobroma cacao] 
CSS0035872,unnamed protein product [Vitis vinifera]
CSS0043388,Retrotransposon protein Ty3-gypsy subclass putative [Theobroma cacao] 
CSS0023133,Ribonuclease H [Medicago truncatula]
CSS0023375,Peroxin 14 putative isoform 4 [Theobroma cacao] 
CSS0004780,hypothetical protein POPTR_0015s00340g [Populus trichocarpa] 
CSS0006864,PREDICTED: E3 SUMO-protein ligase SIZ1-like [Prunus mume]
CSS0044846,arginyl-tRNA synthetase-like protein [Camellia sinensis]
CSS0034418,PREDICTED: peptidyl-prolyl cis-trans isomerase FKBP16-4 chloroplastic isoform X4 [Vitis vinifera] 
CSS0047817,unnamed protein product [Coffea canephora]
CSS0023283,PREDICTED: AP-1 complex subunit mu-2 [Nelumbo nucifera]
CSS0034567,PREDICTED: uncharacterized protein LOC104118687 [Nicotiana tomentosiformis]
CSS0011815,PREDICTED: CDPK-related kinase 5-like [Nicotiana sylvestris]
CSS0049626,PREDICTED: elongation of fatty acids protein 3-like [Beta vulgaris subsp. vulgaris]
CSS0043164,hypothetical protein VITISV_012924 [Vitis vinifera]
CSS0014965,PREDICTED: CDPK-related kinase 3 [Nicotiana sylvestris]
CSS0015817,PREDICTED: subtilisin-like protease isoform X4 [Vitis vinifera] 
CSS0005376,PREDICTED: pentatricopeptide repeat-containing protein At4g14050 mitochondrial-like [Vitis vinifera]
CSS0027936,PREDICTED: F-box/kelch-repeat protein At5g42350-like [Vitis vinifera] 
CSS0020860,unnamed protein product [Coffea canephora]
CSS0044034,PREDICTED: uncharacterized protein LOC100260982 [Vitis vinifera] 
CSS0027516,hypothetical protein VITISV_040122 [Vitis vinifera]
CSS0040232,gag-pol partial [Camellia sinensis]
CSS0027573,PREDICTED: uncharacterized protein LOC100257055 [Vitis vinifera]
CSS0013419,basic 7S globulin 2 precursor small subunit putative [Ricinus communis] 
CSS0027099,PREDICTED: outer envelope pore protein 37 chloroplastic [Beta vulgaris subsp. vulgaris]
CSS0006511,PREDICTED: RNA-binding protein 39 [Sesamum indicum]
CSS0041372,PREDICTED: 5&apos;-3&apos; exoribonuclease 4 [Vitis vinifera]
CSS0038115,Protein SCAF11 [Gossypium arboreum]
CSS0001583,PREDICTED: mitochondrial pyruvate carrier 2-like [Nelumbo nucifera]
CSS0027882,F-box family protein isoform 1 [Theobroma cacao] 
CSS0005257,PREDICTED: uncharacterized protein LOC102620354 isoform X3 [Citrus sinensis] 
CSS0028487,Indole-3-acetic acid-amido synthetase GH3.6 putative [Ricinus communis] 
CSS0034479,PREDICTED: CBL-interacting serine/threonine-protein kinase 1-like isoform X1 [Vitis vinifera]
CSS0026626,PREDICTED: uncharacterized protein LOC104891519 [Beta vulgaris subsp. vulgaris]
CSS0026860,PREDICTED: uncharacterized protein LOC103403603 [Malus domestica]
CSS0021333,Indole-3-acetate O-methyltransferase 1 -like protein [Gossypium arboreum]
CSS0014526,PREDICTED: uncharacterized protein LOC101243886 [Solanum lycopersicum]
CSS0047848,PREDICTED: proteasome assembly chaperone 4 isoform X1 [Nelumbo nucifera] 
CSS0024370,unnamed protein product [Vitis vinifera]
CSS0037380,PREDICTED: DNA replication complex GINS protein SLD5 [Sesamum indicum]
CSS0035102,PREDICTED: WUSCHEL-related homeobox 5 [Sesamum indicum]
CSS0044835,hypothetical protein VITISV_040224 [Vitis vinifera]
CSS0003251,hypothetical protein CICLE_v10018716mg [Citrus clementina] 
CSS0011726,PREDICTED: U-box domain-containing protein 16 [Sesamum indicum]
CSS0050396,PREDICTED: BAHD acyltransferase DCR [Nicotiana sylvestris]
CSS0043276,PREDICTED: bifunctional glutamate/proline--tRNA ligase-like partial [Cucumis sativus]
CSS0041289,PREDICTED: uncharacterized protein At1g32220 chloroplastic-like isoform X1 [Phoenix dactylifera] 
CSS0021278,hypothetical protein CISIN_1g002458mg [Citrus sinensis]
CSS0011085,BTB/POZ domain-containing protein KCTD9 putative [Ricinus communis] 
CSS0024396,PREDICTED: uncharacterized protein LOC102670315 isoform X1 [Glycine max]
CSS0048506,hypothetical protein JCGZ_23914 [Jatropha curcas]
CSS0036294,PREDICTED: uncharacterized protein LOC100252869 [Vitis vinifera]
CSS0013817,hypothetical protein VITISV_028804 [Vitis vinifera]
CSS0009565,PREDICTED: uncharacterized protein LOC102597035 isoform X1 [Solanum tuberosum]
CSS0047315,PREDICTED: uncharacterized protein LOC105109812 [Populus euphratica]
CSS0048804,putative tubulin [Brassica rapa]
CSS0019178,PREDICTED: uncharacterized protein LOC102660012 isoform X1 [Glycine max]
CSS0043876,PREDICTED: BRCT domain-containing protein At4g02110 isoform X2 [Vitis vinifera]
CSS0017721,hypothetical protein VITISV_030502 [Vitis vinifera]
CSS0032090,PREDICTED: ABC transporter C family member 4-like [Cucumis sativus]
CSS0008490,putative pyruvate phosphate dikinase regulatory protein [Morus notabilis] 
CSS0032302,PREDICTED: beta-amylase 1 chloroplastic-like [Nicotiana tomentosiformis]
CSS0022834,PREDICTED: protein TOPLESS-like isoform X3 [Nelumbo nucifera]
CSS0028567,putative polyprotein [Solanum lycopersicum]
CSS0037473,hypothetical protein VITISV_016796 [Vitis vinifera]
CSS0030922,PREDICTED: cytochrome P450 81D1-like [Malus domestica] 
CSS0029390,hypothetical protein MIMGU_mgv1a016218mg [Erythranthe guttata] 
CSS0015918,PREDICTED: uncharacterized protein LOC103403603 [Malus domestica]
CSS0021207,PREDICTED: uncharacterized protein LOC104882266 isoform X1 [Vitis vinifera] 
CSS0029103,hypothetical protein JCGZ_15573 [Jatropha curcas]
CSS0042924,aspartate ammonia lyase putative [Ricinus communis] 
CSS0013710,hypothetical protein EUGRSUZ_K01100 [Eucalyptus grandis]
CSS0019489,unnamed protein product [Vitis vinifera]
CSS0002720,PREDICTED: two pore potassium channel a [Nelumbo nucifera]
CSS0033841,PREDICTED: probable inactive shikimate kinase like 1 chloroplastic isoform X4 [Vitis vinifera]
CSS0049505,hypothetical protein VITISV_006850 [Vitis vinifera]
CSS0040837,PREDICTED: uncharacterized protein LOC100247222 [Vitis vinifera]
CSS0033829,PREDICTED: uncharacterized protein LOC104600262 isoform X1 [Nelumbo nucifera] 
CSS0043033,PREDICTED: pleiotropic drug resistance protein 3-like isoform X2 [Setaria italica]
CSS0018108,PREDICTED: 6-phosphogluconate dehydrogenase decarboxylating 1 chloroplastic [Vitis vinifera]
CSS0000562,PREDICTED: thaumatin-like protein 1b [Populus euphratica]
CSS0035845,hypothetical protein CISIN_1g047221mg [Citrus sinensis]
CSS0037406,hypothetical protein POPTR_0011s11570g [Populus trichocarpa] 
CSS0042680,PREDICTED: ubiquitin thioesterase OTU1 [Nicotiana tomentosiformis]
CSS0031787,unnamed protein product [Vitis vinifera]
CSS0028541,PREDICTED: DNA repair protein recA homolog 3 mitochondrial isoform X2 [Elaeis guineensis]
CSS0036634,hypothetical protein VITISV_007637 [Vitis vinifera]
CSS0011335,hypothetical protein VITISV_029328 [Vitis vinifera]
CSS0000790,hypothetical protein CICLE_v10005640mg [Citrus clementina] 
CSS0041850,PREDICTED: ethylene-responsive transcription factor ERF096-like [Eucalyptus grandis] 
CSS0029961,PREDICTED: flowering time control protein FCA-like isoform X5 [Nelumbo nucifera]
CSS0030531,PREDICTED: MLP-like protein 43 [Vitis vinifera] 
CSS0011975,PREDICTED: aluminum-activated malate transporter 12-like [Malus domestica]
CSS0034253,PREDICTED: chloride channel protein CLC-d isoform X1 [Prunus mume]
CSS0033189,PREDICTED: mitochondrial chaperone BCS1-like [Nelumbo nucifera]
CSS0025289,PREDICTED: uncharacterized protein LOC102585054 [Solanum tuberosum]
CSS0000873,PREDICTED: vasodilator-stimulated phosphoprotein-like [Eucalyptus grandis]
CSS0031599,PREDICTED: replication protein A 70 kDa DNA-binding subunit B [Sesamum indicum]
CSS0028654,PREDICTED: uncharacterized protein LOC105178306 [Sesamum indicum]
CSS0037814,PREDICTED: probable protein phosphatase 2C 68 isoform X2 [Vitis vinifera]
CSS0010413,putative gag protein [Nicotiana tabacum]
CSS0006680,PREDICTED: uncharacterized protein LOC100242314 [Vitis vinifera] 
CSS0012538,hypothetical protein CICLE_v10017708mg [Citrus clementina] 
CSS0029835,PREDICTED: protein FLX-like 1 [Nelumbo nucifera]
CSS0039763,hypothetical protein VITISV_000588 [Vitis vinifera]
CSS0000805,PREDICTED: AP-1 complex subunit mu-2 [Nelumbo nucifera]
CSS0043463,Alpha/beta-Hydrolases superfamily protein isoform 1 [Theobroma cacao] 
CSS0032407,PREDICTED: WD repeat-containing protein 5 [Vitis vinifera] 
CSS0003538,PREDICTED: putative receptor protein kinase ZmPK1 [Vitis vinifera]
CSS0020378,hypothetical protein VITISV_000588 [Vitis vinifera]
CSS0046191,PREDICTED: trihelix transcription factor GT-3b-like [Vitis vinifera]
CSS0044151,hypothetical protein PRUPE_ppa003235mg [Prunus persica] 
CSS0017380,unnamed protein product [Coffea canephora]
CSS0018786,hypothetical protein CICLE_v10011322mg [Citrus clementina] 
CSS0048525,conserved hypothetical protein [Ricinus communis] 
CSS0015685,PREDICTED: coiled-coil domain-containing protein 94 homolog [Tarenaya hassleriana]
CSS0029983,PREDICTED: haloacid dehalogenase-like hydrolase domain-containing protein Sgpp [Populus euphratica]
CSS0015313,glutamine synthetase [Camellia sinensis] 
CSS0049452,PREDICTED: LRR receptor-like serine/threonine-protein kinase FLS2 [Vitis vinifera] 
CSS0029365,PREDICTED: vacuolar iron transporter homolog 1-like [Populus euphratica]
CSS0044076,PREDICTED: L-type lectin-domain containing receptor kinase V.9-like [Nelumbo nucifera]
CSS0025210,PREDICTED: erlin-2-B-like [Solanum tuberosum]
CSS0036252,PREDICTED: DNA ligase 1 [Prunus mume]
CSS0017765,PREDICTED: kinesin-4 [Vitis vinifera]
CSS0024536,Senescence-associated gene 12 [Theobroma cacao] 
CSS0032547,PREDICTED: homeobox-leucine zipper protein HAT4-like [Sesamum indicum]
CSS0045915,PREDICTED: zinc finger protein JACKDAW-like [Vitis vinifera]
CSS0043343,pectin methlyesterase inhibitor protein 1 [Capsicum annuum] 
CSS0030646,PREDICTED: 17.3 kDa class I heat shock protein-like [Nelumbo nucifera]
CSS0020346,PREDICTED: inactive protein kinase SELMODRAFT_444075 [Vitis vinifera] 
CSS0033079,PREDICTED: uncharacterized protein LOC103335129 [Prunus mume]
CSS0014187,unnamed protein product partial [Coffea canephora]
CSS0022141,Glutathione S-transferase phi 8 [Theobroma cacao] 
CSS0013901,PREDICTED: GTP-binding protein YPTM2 [Populus euphratica]
CSS0015446,PREDICTED: GDSL esterase/lipase At1g29670-like [Sesamum indicum]
CSS0003062,hypothetical protein VITISV_018331 [Vitis vinifera]
CSS0006665,PREDICTED: mRNA turnover protein 4 homolog [Vitis vinifera] 
CSS0033474,PREDICTED: uncharacterized protein LOC100245966 [Vitis vinifera] 
CSS0010201,PREDICTED: uncharacterized protein LOC105167904 [Sesamum indicum]
CSS0045323,unnamed protein product [Vitis vinifera]
CSS0008521,Myb domain protein 79 isoform 1 [Theobroma cacao] 
CSS0007527,PREDICTED: myosin heavy chain skeletal muscle-like [Nicotiana tomentosiformis]
CSS0029549,hypothetical protein POPTR_0004s19470g [Populus trichocarpa] 
CSS0009200,PREDICTED: uncharacterized protein LOC104907217 [Beta vulgaris subsp. vulgaris]
CSS0037237,PREDICTED: probable polygalacturonase [Vitis vinifera]
CSS0039496,PREDICTED: uncharacterized protein LOC103327034 isoform X1 [Prunus mume] 
CSS0040820,PREDICTED: receptor-like protein kinase HAIKU2 [Nicotiana tomentosiformis]
CSS0047226,PREDICTED: myosin heavy chain kinase B [Eucalyptus grandis]
CSS0040922,Cysteine/Histidine-rich C1 domain family protein putative [Theobroma cacao] 
CSS0029722,PREDICTED: uncharacterized protein LOC104231155 [Nicotiana sylvestris]
CSS0021775,PREDICTED: putative calcium-transporting ATPase 11 plasma membrane-type [Vitis vinifera]
CSS0001574,PREDICTED: rop guanine nucleotide exchange factor 5 [Vitis vinifera]
